    New chain ID            Original chain ID

4v6f-pdb-bundle1.pdb:
           A                        AA
           B                        AB
           C                        AD
           D                        AE
           E                        AF
           F                        AG
           G                        AH
           H                        AK
           I                        AM
           J                        AN
           K                        AO
           L                        AP
           M                        A0
           N                        AQ
           O                        AR
           P                        A1
           Q                        A2
           R                        AS
           S                        AT
           T                        AU
           U                        AV
           V                        A3
           W                        AZ
           X                        AW
           Y                        AX
           Z                        A4
           a                        A5
           b                        A6
           c                        A7
           d                        A8

4v6f-pdb-bundle2.pdb:
           A                        BA
           B                        BE
           C                        BF
           D                        BG
           E                        BH
           F                        BI
           G                        BJ
           H                        BK
           I                        BL
           J                        BM
           K                        BN
           L                        BO
           M                        BP
           N                        BQ
           O                        BR
           P                        BS
           Q                        BT
           R                        BU
           S                        BV
           T                        BW
           U                        BX
           V                        BD
           W                        BB
           X                        BC
           Y                        B1
           Z                        CA
           a                        CE
           b                        CF
           c                        CG
           d                        CH
           e                        CI
           f                        CJ

4v6f-pdb-bundle3.pdb:
           A                        CK
           B                        CL
           C                        CM
           D                        CN
           E                        CO
           F                        CP
           G                        CQ
           H                        CR
           I                        CS
           J                        CT
           K                        CU
           L                        CV
           M                        CW
           N                        CX
           O                        CD
           P                        CB
           Q                        CC
           R                        C1
           S                        DA
           T                        DB
           U                        DD
           V                        DE
           W                        DF
           X                        DG
           Y                        DH
           Z                        DI
           a                        DK
           b                        DY
           c                        DL
           d                        DJ
           e                        DM
           f                        DN
           g                        DO

4v6f-pdb-bundle4.pdb:
           A                        DP
           B                        D0
           C                        DQ
           D                        DR
           E                        D1
           F                        D2
           G                        DS
           H                        DT
           I                        DU
           J                        DV
           K                        D3
           L                        DZ
           M                        DW
           N                        DX
           O                        D4
           P                        D5
           Q                        D6
           R                        D7
           S                        D8
