    New chain ID            Original chain ID

4v88-pdb-bundle1.pdb:
           A                        A2
           B                        AA
           C                        AB
           D                        AC
           E                        AD
           F                        AE
           G                        AF
           H                        AG
           I                        AH
           J                        AI
           K                        AJ
           L                        AK
           M                        AL
           N                        AM
           O                        AN
           P                        AO
           Q                        AP
           R                        AQ
           S                        AR
           T                        AS
           U                        AT
           V                        AU
           W                        AV
           X                        AW
           Y                        AX
           Z                        AY
           a                        AZ
           b                        Aa
           c                        Ab
           d                        Ac
           e                        Ad
           f                        Ae
           g                        Af
           h                        Ag
           i                        Ah

4v88-pdb-bundle2.pdb:
           A                        A1
           B                        A3
           C                        A4
           D                        BA
           E                        BB
           F                        BC
           G                        BD
           H                        BE
           I                        BF
           J                        BG
           K                        BH
           L                        BI
           M                        BJ
           N                        BL
           O                        BM

4v88-pdb-bundle3.pdb:
           A                        BN
           B                        BO
           C                        BP
           D                        BQ
           E                        BR
           F                        BS
           G                        BT
           H                        BU
           I                        BV
           J                        BW
           K                        BX
           L                        BY
           M                        BZ
           N                        Ba
           O                        Bb
           P                        Bc
           Q                        Bd
           R                        Be
           S                        Bf
           T                        Bg
           U                        Bh
           V                        Bi
           W                        Bj
           X                        Bk
           Y                        Bl
           Z                        Bm
           a                        Bn
           b                        Bo
           c                        Bp
           d                        A6
           e                        CA
           f                        CB
           g                        CC
           h                        CD
           i                        CE
           j                        CF
           k                        CG
           l                        CH
           m                        CI
           n                        CJ
           o                        CK
           p                        CL
           q                        CM
           r                        CN
           s                        CO
           t                        CP
           u                        CQ
           v                        CR
           w                        CS
           x                        CT
           y                        CU
           z                        CV
           0                        CW
           1                        CX

4v88-pdb-bundle4.pdb:
           A                        CY
           B                        CZ
           C                        Ca
           D                        Cb
           E                        Cc
           F                        Cd
           G                        Ce
           H                        Cf
           I                        Cg
           J                        Ch
           K                        A5
           L                        A7
           M                        A8
           N                        DA
           O                        DB
           P                        DC
           Q                        DD
           R                        DE
           S                        DF

4v88-pdb-bundle5.pdb:
           A                        DG
           B                        DH
           C                        DI
           D                        DJ
           E                        DK
           F                        DL
           G                        DM
           H                        DN
           I                        DO
           J                        DP
           K                        DQ
           L                        DR
           M                        DS
           N                        DT
           O                        DU
           P                        DV
           Q                        DW
           R                        DX
           S                        DY
           T                        DZ
           U                        Da
           V                        Db
           W                        Dc
           X                        Dd
           Y                        De
           Z                        Df
           a                        Dg
           b                        Dh
           c                        Di
           d                        Dj
           e                        Dk
           f                        Dl
           g                        Dm
           h                        Dn
           i                        Do
           j                        Dp
           k                        Dq
           l                        Dr
           m                        Ds
