    New chain ID            Original chain ID

5tbw-pdb-bundle1.pdb:
           1                         1
           3                         3
           4                         4
           j                         j
           k                         k
           l                         l
           m                         m
           n                         n
           o                         o
           p                         p
           q                         q
           r                         r
           s                         s
           t                         t
           u                         u

5tbw-pdb-bundle2.pdb:
           A                         v
           B                         w
           C                         x
           D                         y
           E                         z
           F                         0
           G                         2
           H                         5
           I                         6
           J                         7
           K                         8
           L                         9
           M                        AA
           N                        AB
           O                        AC
           P                        AD
           Q                        AE
           R                        AF
           S                        AG
           T                        AH
           U                        AI
           V                        AJ
           W                        AK
           X                        AL
           Y                        AM
           Z                        AN
           a                        AO
           b                        AP
           c                        AQ
           d                         i
           e                        AR

5tbw-pdb-bundle3.pdb:
           A                        AS
           B                        AT
           C                        CD
           D                        CE
           E                        CF
           F                        CG
           G                        CH
           H                        CI
           I                        CJ
           J                        CK
           K                        CL
           L                        CM
           M                        CN
           N                        CO
           O                        CP
           P                        CQ
           Q                        CR
           R                        CS
           S                        CT
           T                        CU
           U                        CV
           V                        CW
           W                        CX
           X                        CY
           Y                        CZ
           Z                        DA
           a                        DB
           b                        DC
           c                        DD
           d                        DE
           e                        DF
           f                        DG
           g                        DH
           h                        DI
           i                        DJ
           j                        DK
           k                        DL
           l                        DM
           m                        DN
           n                        DO
           o                        DP
           p                        DQ
           q                        DR
           r                        p0
           s                        sM
           t                         A
           u                         B

5tbw-pdb-bundle4.pdb:
           A                         C
           B                         D
           C                         E
           D                         F
           E                         G
           F                         H
           G                         I
           H                         J
           I                         K
           J                         L
           K                         M
           L                         N
           M                         O
           N                         P
           O                         Q
           P                         R
           Q                         S
           R                         T
           S                         U
           T                         V
           U                         W
           V                         X
           W                         Y
           X                         Z
           Y                         a
           Z                         b
           a                         c
           b                         d
           c                         e
           d                         f
           e                         g
           f                         h
           g                        sR
           h                        Rb
           i                        s0
           j                        s1
           k                        s2
           l                        s3
           m                        s4
           n                        s5
           o                        s6
           p                        s7
           q                        s8
           r                        s9
           s                        c0
           t                        c1
           u                        c2
           v                        c3
           w                        c4

5tbw-pdb-bundle5.pdb:
           A                        c5
           B                        c6
           C                        c7
           D                        c8
           E                        c9
           F                        d0
           G                        d1
           H                        d2
           I                        d3
           J                        d4
           K                        d5
           L                        d6
           M                        d7
           N                        d8
           O                        d9
           P                        e0
           Q                        e1
